provider,model,rung,ablation_id,ablation_family,removed_scaffold,runs,ok_runs,error_rate,agent_mean_decision,sign_stability,run_to_run_dispersion,method_omission_rate,mean_confidence,status,claim_boundary
DeepSeek,deepseek-chat,L2,baseline,baseline,nan,2,2,0.0,no_or_uncertain,1.0,0.0,0.25,0.5,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L2,omit_data_gap_ledger,scaffold_removed,data_availability_claim_boundary,2,2,0.0,no_or_uncertain,1.0,0.0,0.375,0.6,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L2,omit_pretrend_diagnostics,scaffold_removed,pretrend_event_study_guardrail,2,2,0.0,no_or_uncertain,1.0,0.0,0.5,0.5,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L2,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,2,2,0.0,no_or_uncertain,1.0,0.0,0.75,0.3174445345337062,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L2,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,2,2,0.0,no_or_uncertain,1.0,0.0,0.75,0.1348890690674124,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L3,baseline,baseline,nan,2,2,0.0,yes,1.0,0.0,0.25,0.25,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L3,omit_data_gap_ledger,scaffold_removed,data_availability_claim_boundary,2,2,0.0,yes,1.0,0.0,0.25,0.25,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L3,omit_pretrend_diagnostics,scaffold_removed,pretrend_event_study_guardrail,2,2,0.0,yes,1.0,0.0,0.375,0.5,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L3,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,2,2,0.0,yes,1.0,0.0,0.375,0.5,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L3,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,2,2,0.0,yes,1.0,0.0,0.5,0.6,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L4,baseline,baseline,nan,2,2,0.0,pretrend_flagged,1.0,0.0,0.25,0.25,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L4,omit_data_gap_ledger,scaffold_removed,data_availability_claim_boundary,2,2,0.0,pretrend_flagged,1.0,0.0,0.5,0.3,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L4,omit_pretrend_diagnostics,scaffold_removed,pretrend_event_study_guardrail,2,2,0.0,yes,1.0,0.0,0.25,0.7,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L4,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,2,2,0.0,pretrend_flagged,1.0,0.0,0.5,0.3,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L4,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,2,2,0.0,pretrend_flagged,1.0,0.0,0.5,0.0,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L5,baseline,baseline,nan,2,2,0.0,retail_risk_higher,1.0,0.0,0.125,0.7,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L5,omit_data_gap_ledger,scaffold_removed,data_availability_claim_boundary,2,2,0.0,retail_risk_higher,1.0,0.0,0.5,0.925,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L5,omit_pretrend_diagnostics,scaffold_removed,pretrend_event_study_guardrail,2,2,0.0,retail_risk_higher,1.0,0.0,0.25,0.7,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L5,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,2,2,0.0,pretrend_flagged,1.0,0.0,0.5,0.5,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L5,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,2,2,0.0,retail_risk_higher,1.0,0.0,0.5,3.7477421454442e-161,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L6,baseline,baseline,nan,2,2,0.0,no_or_uncertain,1.0,0.0,0.5,0.6875,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L6,omit_data_gap_ledger,scaffold_removed,data_availability_claim_boundary,2,2,0.0,no_or_uncertain,1.0,0.0,0.5,0.6875,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L6,omit_pretrend_diagnostics,scaffold_removed,pretrend_event_study_guardrail,2,2,0.0,no_or_uncertain,1.0,0.0,0.5,0.6875,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L6,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,2,2,0.0,no_or_uncertain,1.0,0.0,0.5,0.6875,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L6,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,2,2,0.0,no_or_uncertain,1.0,0.0,0.75,0.6875,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L7,baseline,baseline,nan,2,2,0.0,depends_on_stakeholder,1.0,0.0,0.375,0.6875,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L7,omit_data_gap_ledger,scaffold_removed,data_availability_claim_boundary,2,2,0.0,depends_on_stakeholder,1.0,0.0,0.5,0.6875,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L7,omit_pretrend_diagnostics,scaffold_removed,pretrend_event_study_guardrail,2,2,0.0,depends_on_stakeholder,1.0,0.0,0.5,0.6875,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L7,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,2,2,0.0,no_or_uncertain,1.0,0.0,0.625,0.6875,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L7,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,2,2,0.0,depends_on_stakeholder,1.0,0.0,0.5,0.6875,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-reasoner,L0,baseline,baseline,nan,1,0,1.0,no_or_uncertain,,,0.75,0.0,all_runs_failed,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,deepseek-r1:8b,L0,baseline,baseline,nan,1,1,0.0,yes,,,0.25,0.5,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,deepseek-r1:8b,L0,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,1,1,0.0,Proceed with caution due to borderline statistical significance (p=0.0674),1.0,,0.75,0.5,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,deepseek-r1:8b,L0,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,1,1,0.0,"No control group, no fixed effects, no stakeholder metrics.",,,0.25,0.852940497852732,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,deepseek-r1:8b,L4,baseline,baseline,nan,1,1,0.0,pretrend_flagged,1.0,,0.5,0.25,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,deepseek-r1:8b,L4,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,1,1,0.0,pretrend_flagged,,,0.5,0.5,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,deepseek-r1:8b,L4,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,1,1,0.0,pretrend_flagged,1.0,,0.5,0.0,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,deepseek-r1:8b,L6,baseline,baseline,nan,1,1,0.0,No clean causal evidence due to lack of control group and fixed effects.,1.0,,0.5,0.25,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,deepseek-r1:8b,L6,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,1,1,0.0,Do not claim a clean causal welfare gain from aggregate volume alone.,1.0,,0.75,0.0,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,deepseek-r1:8b,L6,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,1,0,1.0,no_or_uncertain,,,0.75,0.0,all_runs_failed,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,deepseek-r1:8b,L7,baseline,baseline,nan,1,1,0.0,no_or_uncertain,1.0,,0.75,0.25,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,deepseek-r1:8b,L7,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,1,0,1.0,no_or_uncertain,,,0.75,0.0,all_runs_failed,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,deepseek-r1:8b,L7,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,1,0,1.0,no_or_uncertain,,,0.75,0.0,all_runs_failed,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,llama3.1,L0,baseline,baseline,nan,1,1,0.0,pending,,,0.5,0.0,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,llama3.1,L0,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,1,1,0.0,Do not infer causality from a before-after comparison unless the rung scaffold permits it.,,,0.75,0.0,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,llama3.1,L0,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,1,1,0.0,yes,,,0.25,0.0,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,llama3.1,L4,baseline,baseline,nan,1,1,0.0,pending,,,0.5,0.0,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,llama3.1,L4,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,1,1,0.0,no_or_uncertain,,,0.75,0.0,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,llama3.1,L4,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,1,1,0.0,Pre-trend risk detected; market-level volume estimates should not be read as clean causal evidence.,,,0.5,0.0,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,llama3.1,L6,baseline,baseline,nan,1,1,0.0,no_or_uncertain,,,0.75,0.0,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,llama3.1,L6,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,1,1,0.0,no_or_uncertain,,,0.75,0.0,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,llama3.1,L6,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,1,1,0.0,no_or_uncertain,,,0.75,0.6875,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,llama3.1,L7,baseline,baseline,nan,1,1,0.0,pending,,,0.5,0.25,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,llama3.1,L7,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,1,1,0.0,Do not claim a clean causal welfare gain from aggregate volume alone.,,,0.75,0.0,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,llama3.1,L7,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,1,1,0.0,"{'stakeholder_metric_vector': [{'metric_name': 'aggregate_activity', 'value': 0.4116991342312808}, {'metric_name': 'retail_fairness', 'value': -1.3423157539376225}, {'metric_name': 'security', 'value': 1.342315753937705}]}",,,0.5,0.0,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,qwen2.5:0.5b,L0,baseline,baseline,nan,1,1,0.0,yes,,,0.25,0.0,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,qwen2.5:0.5b,L0,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,1,1,0.0,no_or_uncertain,,,0.75,0.0,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,qwen2.5:0.5b,L6,baseline,baseline,nan,1,1,0.0,Yes,,,0.25,0.0,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
Ollama,qwen2.5:0.5b,L6,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,1,1,0.0,no,1.0,,0.75,0.0,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
