design_id,stage,estimand,outcome,horizon_days,n_treated,n_control,treated_value,control_value,effect,ci95_low,ci95_high,sensitivity_value,decision,claim_boundary,source_artifact
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D4_token_horizon_validation_rpc,Graduated-token RPC proxy by Telegram metadata: swap_count_1d,swap_count_1d,1,301,1350,3703.0,2716.0,987.0,,,,selected_graduated_token_mechanism_check,RPC row is conditional on graduation and proxy parsing; not a full launch-cohort causal outcome.,artifacts/external_validation/h1_rpc_token_level_outcomes.csv
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D4_token_horizon_validation_rpc,Graduated-token RPC proxy by Telegram metadata: active_traders_1d,active_traders_1d,1,301,1350,0.0,0.0,0.0,,,,selected_graduated_token_mechanism_check,RPC row is conditional on graduation and proxy parsing; not a full launch-cohort causal outcome.,artifacts/external_validation/h1_rpc_token_level_outcomes.csv
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D4_token_horizon_validation_rpc,Graduated-token RPC proxy by Telegram metadata: active_7d,active_7d,7,301,1350,1.0,1.0,0.0,,,,selected_graduated_token_mechanism_check,RPC row is conditional on graduation and proxy parsing; not a full launch-cohort causal outcome.,artifacts/external_validation/h1_rpc_token_level_outcomes.csv
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D4_token_horizon_validation_rpc,Graduated-token RPC proxy by Telegram metadata: swap_count_7d,swap_count_7d,7,301,1350,4099.0,3263.0,836.0,,,,selected_graduated_token_mechanism_check,RPC row is conditional on graduation and proxy parsing; not a full launch-cohort causal outcome.,artifacts/external_validation/h1_rpc_token_level_outcomes.csv
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D4_token_horizon_validation_rpc,Graduated-token RPC proxy by Telegram metadata: active_traders_7d,active_traders_7d,7,301,1350,0.0,0.0,0.0,,,,selected_graduated_token_mechanism_check,RPC row is conditional on graduation and proxy parsing; not a full launch-cohort causal outcome.,artifacts/external_validation/h1_rpc_token_level_outcomes.csv
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D4_token_horizon_validation_rpc,Graduated-token RPC proxy by Telegram metadata: active_30d,active_30d,30,301,1350,1.0,1.0,0.0,,,,selected_graduated_token_mechanism_check,RPC row is conditional on graduation and proxy parsing; not a full launch-cohort causal outcome.,artifacts/external_validation/h1_rpc_token_level_outcomes.csv
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D4_token_horizon_validation_rpc,Graduated-token RPC proxy by Telegram metadata: swap_count_30d,swap_count_30d,30,301,1350,4314.0,3546.0,768.0,,,,selected_graduated_token_mechanism_check,RPC row is conditional on graduation and proxy parsing; not a full launch-cohort causal outcome.,artifacts/external_validation/h1_rpc_token_level_outcomes.csv
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D4_token_horizon_validation_rpc,Graduated-token RPC proxy by Telegram metadata: active_traders_30d,active_traders_30d,30,301,1350,0.0,0.0,0.0,,,,selected_graduated_token_mechanism_check,RPC row is conditional on graduation and proxy parsing; not a full launch-cohort causal outcome.,artifacts/external_validation/h1_rpc_token_level_outcomes.csv
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D5_token_horizon_validation_moralis,Moralis decoded graduated-token sample by Telegram metadata: decoded_volume_usd,decoded_volume_usd,1,62,232,16592.46619885319,14574.121014308297,2018.3451845448944,,,,selected_decoded_sample_mechanism_check,Moralis decoded rows are selected covered tokens; not a full launch-cohort causal outcome.,artifacts/external_validation/moralis_decoded_token_outcomes.csv
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D5_token_horizon_validation_moralis,Moralis decoded graduated-token sample by Telegram metadata: decoded_active_traders,decoded_active_traders,1,62,232,129.5,105.0,24.5,,,,selected_decoded_sample_mechanism_check,Moralis decoded rows are selected covered tokens; not a full launch-cohort causal outcome.,artifacts/external_validation/moralis_decoded_token_outcomes.csv
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D5_token_horizon_validation_moralis,Moralis decoded graduated-token sample by Telegram metadata: decoded_trade_count,decoded_trade_count,1,62,232,196.0,199.0,-3.0,,,,selected_decoded_sample_mechanism_check,Moralis decoded rows are selected covered tokens; not a full launch-cohort causal outcome.,artifacts/external_validation/moralis_decoded_token_outcomes.csv
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D5_token_horizon_validation_moralis,Moralis decoded graduated-token sample by Telegram metadata: decoded_volume_usd,decoded_volume_usd,7,62,232,16592.46619885319,14724.556443378251,1867.9097554749405,,,,selected_decoded_sample_mechanism_check,Moralis decoded rows are selected covered tokens; not a full launch-cohort causal outcome.,artifacts/external_validation/moralis_decoded_token_outcomes.csv
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D5_token_horizon_validation_moralis,Moralis decoded graduated-token sample by Telegram metadata: decoded_active_traders,decoded_active_traders,7,62,232,129.5,106.0,23.5,,,,selected_decoded_sample_mechanism_check,Moralis decoded rows are selected covered tokens; not a full launch-cohort causal outcome.,artifacts/external_validation/moralis_decoded_token_outcomes.csv
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D5_token_horizon_validation_moralis,Moralis decoded graduated-token sample by Telegram metadata: decoded_trade_count,decoded_trade_count,7,62,232,196.0,199.0,-3.0,,,,selected_decoded_sample_mechanism_check,Moralis decoded rows are selected covered tokens; not a full launch-cohort causal outcome.,artifacts/external_validation/moralis_decoded_token_outcomes.csv
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D5_token_horizon_validation_moralis,Moralis decoded graduated-token sample by Telegram metadata: decoded_volume_usd,decoded_volume_usd,30,62,232,16592.46619885319,14724.556443378251,1867.9097554749405,,,,selected_decoded_sample_mechanism_check,Moralis decoded rows are selected covered tokens; not a full launch-cohort causal outcome.,artifacts/external_validation/moralis_decoded_token_outcomes.csv
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D5_token_horizon_validation_moralis,Moralis decoded graduated-token sample by Telegram metadata: decoded_active_traders,decoded_active_traders,30,62,232,129.5,106.0,23.5,,,,selected_decoded_sample_mechanism_check,Moralis decoded rows are selected covered tokens; not a full launch-cohort causal outcome.,artifacts/external_validation/moralis_decoded_token_outcomes.csv
TELEGRAM_MIRROR_MATCHED_DESIGN_V1,D5_token_horizon_validation_moralis,Moralis decoded graduated-token sample by Telegram metadata: decoded_trade_count,decoded_trade_count,30,62,232,196.0,199.0,-3.0,,,,selected_decoded_sample_mechanism_check,Moralis decoded rows are selected covered tokens; not a full launch-cohort causal outcome.,artifacts/external_validation/moralis_decoded_token_outcomes.csv
