rung,ablation_id,ablation_family,removed_scaffold,rung_data_access,registered_scaffold,ablation_description,claim_boundary
L2,baseline,baseline,,market_daily_panel,Unit/date fixed effects are required.,Registered L0-L7 prompt and artifact bundle.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L2,omit_pretrend_diagnostics,scaffold_removed,pretrend_event_study_guardrail,market_daily_panel,Unit/date fixed effects are required.,Remove explicit pretrend/event-study diagnostic scaffolding where present.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L2,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,market_daily_panel,Unit/date fixed effects are required.,"Remove explicit confidence-interval, p-value, and bootstrap guardrail language where present.",Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L2,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,market_daily_panel,Unit/date fixed effects are required.,Remove stakeholder and retail-risk scaffold evidence where present.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L2,omit_data_gap_ledger,scaffold_removed,data_availability_claim_boundary,market_daily_panel,Unit/date fixed effects are required.,Remove data-gap and claim-scope reminders where present.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L3,baseline,baseline,,market_daily_panel plus estimator note,Modern DiD/event-study package documentation is disclosed where compatible.,Registered L0-L7 prompt and artifact bundle.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L3,omit_pretrend_diagnostics,scaffold_removed,pretrend_event_study_guardrail,market_daily_panel plus estimator note,Modern DiD/event-study package documentation is disclosed where compatible.,Remove explicit pretrend/event-study diagnostic scaffolding where present.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L3,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,market_daily_panel plus estimator note,Modern DiD/event-study package documentation is disclosed where compatible.,"Remove explicit confidence-interval, p-value, and bootstrap guardrail language where present.",Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L3,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,market_daily_panel plus estimator note,Modern DiD/event-study package documentation is disclosed where compatible.,Remove stakeholder and retail-risk scaffold evidence where present.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L3,omit_data_gap_ledger,scaffold_removed,data_availability_claim_boundary,market_daily_panel plus estimator note,Modern DiD/event-study package documentation is disclosed where compatible.,Remove data-gap and claim-scope reminders where present.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L4,baseline,baseline,,market_daily_panel,Pre-trend/event-study diagnostic instruction is mandatory.,Registered L0-L7 prompt and artifact bundle.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L4,omit_pretrend_diagnostics,scaffold_removed,pretrend_event_study_guardrail,market_daily_panel,Pre-trend/event-study diagnostic instruction is mandatory.,Remove explicit pretrend/event-study diagnostic scaffolding where present.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L4,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,market_daily_panel,Pre-trend/event-study diagnostic instruction is mandatory.,"Remove explicit confidence-interval, p-value, and bootstrap guardrail language where present.",Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L4,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,market_daily_panel,Pre-trend/event-study diagnostic instruction is mandatory.,Remove stakeholder and retail-risk scaffold evidence where present.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L4,omit_data_gap_ledger,scaffold_removed,data_availability_claim_boundary,market_daily_panel,Pre-trend/event-study diagnostic instruction is mandatory.,Remove data-gap and claim-scope reminders where present.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L5,baseline,baseline,,market panel plus RED-PUMP token outcomes and HF Pump.fun risk snapshots,"Heterogeneity by token lifecycle, social metadata, holder concentration, and source-coded risk is required.",Registered L0-L7 prompt and artifact bundle.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L5,omit_pretrend_diagnostics,scaffold_removed,pretrend_event_study_guardrail,market panel plus RED-PUMP token outcomes and HF Pump.fun risk snapshots,"Heterogeneity by token lifecycle, social metadata, holder concentration, and source-coded risk is required.",Remove explicit pretrend/event-study diagnostic scaffolding where present.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L5,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,market panel plus RED-PUMP token outcomes and HF Pump.fun risk snapshots,"Heterogeneity by token lifecycle, social metadata, holder concentration, and source-coded risk is required.","Remove explicit confidence-interval, p-value, and bootstrap guardrail language where present.",Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L5,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,market panel plus RED-PUMP token outcomes and HF Pump.fun risk snapshots,"Heterogeneity by token lifecycle, social metadata, holder concentration, and source-coded risk is required.",Remove stakeholder and retail-risk scaffold evidence where present.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L5,omit_data_gap_ledger,scaffold_removed,data_availability_claim_boundary,market panel plus RED-PUMP token outcomes and HF Pump.fun risk snapshots,"Heterogeneity by token lifecycle, social metadata, holder concentration, and source-coded risk is required.",Remove data-gap and claim-scope reminders where present.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L6,baseline,baseline,,market panel plus inference outputs,Few-cluster uncertainty/wild bootstrap instruction is mandatory.,Registered L0-L7 prompt and artifact bundle.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L6,omit_pretrend_diagnostics,scaffold_removed,pretrend_event_study_guardrail,market panel plus inference outputs,Few-cluster uncertainty/wild bootstrap instruction is mandatory.,Remove explicit pretrend/event-study diagnostic scaffolding where present.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L6,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,market panel plus inference outputs,Few-cluster uncertainty/wild bootstrap instruction is mandatory.,"Remove explicit confidence-interval, p-value, and bootstrap guardrail language where present.",Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L6,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,market panel plus inference outputs,Few-cluster uncertainty/wild bootstrap instruction is mandatory.,Remove stakeholder and retail-risk scaffold evidence where present.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L6,omit_data_gap_ledger,scaffold_removed,data_availability_claim_boundary,market panel plus inference outputs,Few-cluster uncertainty/wild bootstrap instruction is mandatory.,Remove data-gap and claim-scope reminders where present.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L7,baseline,baseline,,all computed tables plus data-availability ledger and Moralis decoded outcome sample when present,Stakeholder metric battery is mandatory; conclusion must be stakeholder-specific.,Registered L0-L7 prompt and artifact bundle.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L7,omit_pretrend_diagnostics,scaffold_removed,pretrend_event_study_guardrail,all computed tables plus data-availability ledger and Moralis decoded outcome sample when present,Stakeholder metric battery is mandatory; conclusion must be stakeholder-specific.,Remove explicit pretrend/event-study diagnostic scaffolding where present.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L7,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,all computed tables plus data-availability ledger and Moralis decoded outcome sample when present,Stakeholder metric battery is mandatory; conclusion must be stakeholder-specific.,"Remove explicit confidence-interval, p-value, and bootstrap guardrail language where present.",Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L7,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,all computed tables plus data-availability ledger and Moralis decoded outcome sample when present,Stakeholder metric battery is mandatory; conclusion must be stakeholder-specific.,Remove stakeholder and retail-risk scaffold evidence where present.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L7,omit_data_gap_ledger,scaffold_removed,data_availability_claim_boundary,all computed tables plus data-availability ledger and Moralis decoded outcome sample when present,Stakeholder metric battery is mandatory; conclusion must be stakeholder-specific.,Remove data-gap and claim-scope reminders where present.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
