call_id,experiment_version,case_id,model_spec_id,provider,requested_model,condition_id,condition_family,canonical_rung,factorial_bits,present_evidence_ids,missing_evidence_ids,leakage_expected,run_id,seed,status,prompt_hash,evidence_hash,audit_packet_id,started_at_utc,completed_at_utc,returned_model,model_digest,input_tokens,output_tokens,reasoning_tokens,estimated_cost_usd,parse_repair_attempted,error
C-5ecee2ba23c2a9745f53,agentic-evidence-audit-v2.0,pumpswap_application,qwen3_14b,Alibaba-Qwen/Ollama,qwen3:14b,F_1111,factorial,L7,1111,M0;M1;M2;M3;M4;M5;M6;M7,,0,2,1610877491,ok,ddfbfb322390b50d96f76f4d704858aefd2166d044e81a4fdfeb297508e27883,1e35fbcf630ead817cce4f2157fe35609b5577db62bad4162bd6d33a33f42a1f,AUDIT-8b3975402af42492,2026-08-25T07:55:55.635935+00:00,2026-08-25T07:58:59.207036+00:00,qwen3:14b,bdbd181c33f2ed1b31c972991882db3cf4d192569092138a7d29e973cd9debe8,7565,119,0,0.0,0,
C-4383e6c98b9f94617135,agentic-evidence-audit-v2.0,pumpswap_application,gpt_5_6_terra,OpenAI,gpt-5.6-terra,F_1001,factorial,,1001,M0;M1;M2;M3;M4;M7,M5;M6,0,2,1152978498,ok,7a0e7b6d9ddd54ba035d1a779dfdc8ccb01c924a6c2343208f2da83b4742622c,3f0d402b4da8883a2c70dbc78c94c87e7e37dc26a0ad3022be5bf41b4722ddd8,AUDIT-3366c29b17bb3e44,2026-08-25T07:58:59.224921+00:00,2026-08-25T07:59:06.346321+00:00,gpt-5.6-terra,remote_provider,3924,312,161,0.011592,0,
C-5483442d1a5450be1eee,agentic-evidence-audit-v2.0,pumpswap_application,gpt_5_6_terra,OpenAI,gpt-5.6-terra,CTRL_EMPTY_L2,evidence_free_negative_control,L2,,,M0;M1;M2;M3;M4;M5;M6;M7,0,3,1438149542,ok,5b1acd70eae27bd0d62c588f6554b37511b5e61d97ad5329e56ccf6af8a00369,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,AUDIT-fddecd41d3db67e5,2026-08-25T07:59:06.362828+00:00,2026-08-25T07:59:10.190277+00:00,gpt-5.6-terra,remote_provider,866,105,0,0.002992,0,
C-816ae3a8f6c914e484f8,agentic-evidence-audit-v2.0,pumpswap_application,qwen3_14b,Alibaba-Qwen/Ollama,qwen3:14b,F_1001,factorial,,1001,M0;M1;M2;M3;M4;M7,M5;M6,0,5,2191526689,ok,7a0e7b6d9ddd54ba035d1a779dfdc8ccb01c924a6c2343208f2da83b4742622c,3f0d402b4da8883a2c70dbc78c94c87e7e37dc26a0ad3022be5bf41b4722ddd8,AUDIT-3366c29b17bb3e44,2026-08-25T07:59:10.207276+00:00,2026-08-25T08:01:46.662591+00:00,qwen3:14b,bdbd181c33f2ed1b31c972991882db3cf4d192569092138a7d29e973cd9debe8,5831,117,0,0.0,0,
C-c69ce1d855123da14315,agentic-evidence-audit-v2.0,pumpswap_application,qwen3_14b,Alibaba-Qwen/Ollama,qwen3:14b,F_0110,factorial,,0110,M0;M1;M2;M3;M5;M6,M4;M7,0,5,3352430929,ok,f90ad143ef214dc0cb276b6c3252b398bc922eb2ed46cd94539b70ca820b7acf,84ed179caed53b02482f221e141e302b1ca8ef6d7430ac188d9fdff23a191d20,AUDIT-e2c3b8fa85498425,2026-08-25T08:25:30.741398+00:00,2026-08-25T08:27:56.153116+00:00,qwen3:14b,bdbd181c33f2ed1b31c972991882db3cf4d192569092138a7d29e973cd9debe8,4325,121,0,0.0,0,
C-0a18658c868de24ec315,agentic-evidence-audit-v2.0,pumpswap_application,qwen3_14b,Alibaba-Qwen/Ollama,qwen3:14b,CTRL_LEAKY_L2,legacy_leaky_positive_control,L2,,M0;M1;M2,M3;M4;M5;M6;M7,1,2,189631749,ok,b0564a30a8df7a7c0b3c9a2f255940a88e740cacc854c4436ecbb39e6120c177,2c70956c1b516ac336a2586137e5110594e8f7fdffa8e118d4ed7ac13271a1e3,LEAKY-L2-2c70956c1b51,2026-08-25T08:27:56.185929+00:00,2026-08-25T08:28:45.923324+00:00,qwen3:14b,bdbd181c33f2ed1b31c972991882db3cf4d192569092138a7d29e973cd9debe8,1180,163,0,0.0,0,
C-7d9644d1a3b6d7a2fbf0,agentic-evidence-audit-v2.0,pumpswap_application,gpt_5_6_terra,OpenAI,gpt-5.6-terra,CTRL_LEAKY_L4,legacy_leaky_positive_control,L4,,M0;M1;M2;M3;M4,M5;M6;M7,1,1,2127260746,ok,f97ebde1e6429686b36a4e3e26927467154047a34ff2566472451ed096a6e69b,db61a42048e3635bbc87a6f25cd8328c8bb3e3aa0698a40540f1518daae8590b,LEAKY-L4-db61a42048e3,2026-08-25T08:28:45.942592+00:00,2026-08-25T08:28:54.576290+00:00,gpt-5.6-terra,remote_provider,1016,429,220,0.00718,0,
C-9a37baf2df7aff4fa444,agentic-evidence-audit-v2.0,pumpswap_application,deepseek_v4_pro,DeepSeek,deepseek-v4-pro,F_0100,factorial,,0100,M0;M1;M2;M3;M5,M4;M6;M7,0,5,2607604331,ok,3833ea8542bb4c62b3cf88d8405ea4aba4d9e4db41b6ff9344da35b348aa05fd,12e8323fdcc84a37b83a53448aaf4d8f4c7b1ef70919a7513ac855ed3ed70f87,AUDIT-395b5d5adcfabf63,2026-08-25T08:28:54.592174+00:00,2026-08-25T08:29:50.344489+00:00,deepseek-v4-pro,remote_provider,2568,3239,3021,0.0162162,0,
C-e346c0eecf62813f78b2,agentic-evidence-audit-v2.0,pumpswap_application,deepseek_v4_pro,DeepSeek,deepseek-v4-pro,F_0001,factorial,,0001,M0;M1;M2;M3;M7,M4;M5;M6,0,5,3833325671,ok,6a675819e8062e65062ec4ee8c1afb0a1e8575fe21f1788ce19dc50633175afa,2f2277db14be200a7f9e501c12ed6e43e20296f440d619230de510d57bd1b323,AUDIT-a4850afa74e188ae,2026-08-25T08:29:50.371971+00:00,2026-08-25T08:30:37.458738+00:00,deepseek-v4-pro,remote_provider,2431,2789,2634,0.01425336,0,
C-592cf36ad68574eac15f,agentic-evidence-audit-v2.0,pumpswap_application,deepseek_v4_pro,DeepSeek,deepseek-v4-pro,CTRL_EMPTY_L6,evidence_free_negative_control,L6,,,M0;M1;M2;M3;M4;M5;M6;M7,0,2,1516378851,ok,3e924aa863c9cf97c4c8564b384302762224368bb1bdeede476428557887cf31,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,AUDIT-aea093381a53a3f2,2026-08-25T08:30:37.478176+00:00,2026-08-25T08:30:47.525001+00:00,deepseek-v4-pro,remote_provider,785,542,411,0.00318252,0,
C-d22c666b7a808a651655,agentic-evidence-audit-v2.0,pumpswap_application,qwen3_14b,Alibaba-Qwen/Ollama,qwen3:14b,F_1001,factorial,,1001,M0;M1;M2;M3;M4;M7,M5;M6,0,9,3546385892,ok,7a0e7b6d9ddd54ba035d1a779dfdc8ccb01c924a6c2343208f2da83b4742622c,3f0d402b4da8883a2c70dbc78c94c87e7e37dc26a0ad3022be5bf41b4722ddd8,AUDIT-3366c29b17bb3e44,2026-08-25T08:30:47.542051+00:00,2026-08-25T08:33:07.894544+00:00,qwen3:14b,bdbd181c33f2ed1b31c972991882db3cf4d192569092138a7d29e973cd9debe8,5831,117,0,0.0,0,
C-a89002a15c65caa2756d,agentic-evidence-audit-v2.0,pumpswap_application,qwen3_14b,Alibaba-Qwen/Ollama,qwen3:14b,P_L1,canonical,L1,,M0;M1,M2;M3;M4;M5;M6;M7,0,1,2848270874,ok,1dd640da5b51325201d16d348a713330d728a9eae3506a1e5f7c35a3e10e2bb9,9f13d811b3d2d4582f107d7d5525b4500d3b759a3bd2da04b68b2b6488ffdc75,AUDIT-1363cdc51069b42b,2026-08-25T08:33:07.910721+00:00,2026-08-25T08:34:25.742463+00:00,qwen3:14b,bdbd181c33f2ed1b31c972991882db3cf4d192569092138a7d29e973cd9debe8,1974,115,0,0.0,0,
C-71d3ca9eb2f2f174bb1f,agentic-evidence-audit-v2.0,pumpswap_application,gpt_5_6_terra,OpenAI,gpt-5.6-terra,CTRL_LEAKY_L2,legacy_leaky_positive_control,L2,,M0;M1;M2,M3;M4;M5;M6;M7,1,3,1929966103,ok,b0564a30a8df7a7c0b3c9a2f255940a88e740cacc854c4436ecbb39e6120c177,2c70956c1b516ac336a2586137e5110594e8f7fdffa8e118d4ed7ac13271a1e3,LEAKY-L2-2c70956c1b51,2026-08-25T08:34:25.758713+00:00,2026-08-25T08:34:34.730973+00:00,gpt-5.6-terra,remote_provider,886,448,231,0.007148,0,
C-c200880612aca27fa029,agentic-evidence-audit-v2.0,pumpswap_application,gpt_5_6_terra,OpenAI,gpt-5.6-terra,P_L0,canonical,L0,,M0,M1;M2;M3;M4;M5;M6;M7,0,9,3275075455,ok,a6caed7c42896c0f99a47f3cbbc548b28e9c43116ffb7c09410af499a777eb8c,7a3b50ed6198b02a0e166807e745e3f52e54ac0a8b19948d97142c39aea73c65,AUDIT-b17d123fb89219a9,2026-08-25T08:34:34.747489+00:00,2026-08-25T08:34:40.160587+00:00,gpt-5.6-terra,remote_provider,1056,208,73,0.004608,0,
C-a785892ab35da8f99f51,agentic-evidence-audit-v2.0,pumpswap_application,gpt_5_6_terra,OpenAI,gpt-5.6-terra,F_0000,factorial,L3,0000,M0;M1;M2;M3,M4;M5;M6;M7,0,2,2830807203,ok,4be32aee8e0144ec47732d75ed1321a9d7e1bdb452dad35a8b477ebafe06f622,82edf5389297b9a009837da45334b076251b01dd7f496262dfc6a21e51ac1819,AUDIT-91f0c8b4b8420e9f,2026-08-25T08:34:40.178338+00:00,2026-08-25T08:34:46.597052+00:00,gpt-5.6-terra,remote_provider,1538,303,158,0.006712,0,
C-a8d65033e128ec3f2526,agentic-evidence-audit-v2.0,pumpswap_application,deepseek_v4_pro,DeepSeek,deepseek-v4-pro,F_1100,factorial,L5,1100,M0;M1;M2;M3;M4;M5,M6;M7,0,4,2852878252,ok,03bc04c56ecb370cb3440d65040c48a6d9f2693750a4577d667f268963510f72,e71683daa41c398ceefa2a6658ee3eaf6031e2300d74c93da74cb8e14f8654d2,AUDIT-7ecb70dac5ade176,2026-08-25T08:34:46.659712+00:00,2026-08-25T08:35:44.977013+00:00,deepseek-v4-pro,remote_provider,4114,3390,3212,0.01885488,0,
C-400915d1c7b4bd8b7657,agentic-evidence-audit-v2.0,pumpswap_application,deepseek_v4_pro,DeepSeek,deepseek-v4-pro,F_1000,factorial,L4,1000,M0;M1;M2;M3;M4,M5;M6;M7,0,9,1094597962,ok,a1a5ce0e2dd0d53c4d489241dd564bf2d9cf942519e92524ae5edff35fe39aae,3583ab2d1a5d0fb83ba5adf4a1af25b61622e3ac2d3333d10dd1fe82c2e0b313,AUDIT-25b1402c07f9a1c7,2026-08-25T08:35:44.994945+00:00,2026-08-25T08:37:31.376053+00:00,deepseek-v4-pro,remote_provider,3021,5879,5674,0.02726856,0,
C-7e9dec32af1a8caf0fa1,agentic-evidence-audit-v2.0,pumpswap_application,gpt_5_6_terra,OpenAI,gpt-5.6-terra,F_0110,factorial,,0110,M0;M1;M2;M3;M5;M6,M4;M7,0,4,2144539563,ok,f90ad143ef214dc0cb276b6c3252b398bc922eb2ed46cd94539b70ca820b7acf,84ed179caed53b02482f221e141e302b1ca8ef6d7430ac188d9fdff23a191d20,AUDIT-e2c3b8fa85498425,2026-08-25T08:37:31.429911+00:00,2026-08-25T08:37:40.027003+00:00,gpt-5.6-terra,remote_provider,2776,311,145,0.009284,0,
C-c1c72493ee1e92d6a509,agentic-evidence-audit-v2.0,pumpswap_application,qwen3_14b,Alibaba-Qwen/Ollama,qwen3:14b,F_1011,factorial,,1011,M0;M1;M2;M3;M4;M6;M7,M5,0,1,3271314444,ok,950fb415ee79c742cdbdbf562e8b185bb5e287f06d66be8b33ad0939c028c5dd,53b17c3fd2cbf24e5cf0d125fd141542fc6a6fe2d3cd78e4d80f5c7bf8c578d2,AUDIT-74f56c650c4216b5,2026-08-25T08:37:40.045401+00:00,2026-08-25T08:39:57.745132+00:00,qwen3:14b,bdbd181c33f2ed1b31c972991882db3cf4d192569092138a7d29e973cd9debe8,6097,162,0,0.0,0,
C-ce29a962de4361b3a627,agentic-evidence-audit-v2.0,pumpswap_application,gpt_5_6_terra,OpenAI,gpt-5.6-terra,P_L0,canonical,L0,,M0,M1;M2;M3;M4;M5;M6;M7,0,3,3479097563,ok,a6caed7c42896c0f99a47f3cbbc548b28e9c43116ffb7c09410af499a777eb8c,7a3b50ed6198b02a0e166807e745e3f52e54ac0a8b19948d97142c39aea73c65,AUDIT-b17d123fb89219a9,2026-08-25T08:39:57.762589+00:00,2026-08-25T08:40:03.730993+00:00,gpt-5.6-terra,remote_provider,1056,159,0,0.00402,0,
C-9913763440b76f08734e,agentic-evidence-audit-v2.0,pumpswap_application,qwen3_14b,Alibaba-Qwen/Ollama,qwen3:14b,F_1100,factorial,L5,1100,M0;M1;M2;M3;M4;M5,M6;M7,0,3,2588450221,ok,03bc04c56ecb370cb3440d65040c48a6d9f2693750a4577d667f268963510f72,e71683daa41c398ceefa2a6658ee3eaf6031e2300d74c93da74cb8e14f8654d2,AUDIT-7ecb70dac5ade176,2026-08-25T08:40:03.750550+00:00,2026-08-25T08:41:41.793699+00:00,qwen3:14b,bdbd181c33f2ed1b31c972991882db3cf4d192569092138a7d29e973cd9debe8,5529,132,0,0.0,0,
C-e39bb693f475db75001f,agentic-evidence-audit-v2.0,pumpswap_application,gpt_5_6_terra,OpenAI,gpt-5.6-terra,F_0101,factorial,,0101,M0;M1;M2;M3;M5;M7,M4;M6,0,9,3838893580,ok,c990ae2236af533d2077afcd2990bf4204e275a43a1689690f604e876a9f58f2,a60120aeddcb1651725eaeddb332a08a0e954291dc46e1cf86f89a28a39dcd42,AUDIT-eca636590bee82a8,2026-08-25T08:41:41.810349+00:00,2026-08-25T08:41:51.706816+00:00,gpt-5.6-terra,remote_provider,3512,475,281,0.012724,0,
C-1b68ec8e3699f20bf028,agentic-evidence-audit-v2.0,pumpswap_application,gpt_5_6_terra,OpenAI,gpt-5.6-terra,F_1010,factorial,,1010,M0;M1;M2;M3;M4;M6,M5;M7,0,7,480121863,ok,36389cca04fc6786e33f7ddc9bf458a19b5d1e453e3b9474bf6252edb1329107,f9d6c998179d35a40cbbdbb54f51cd4cee99dd28583d49b7889256a32e67f2cd,AUDIT-7b22ece2b37e902a,2026-08-25T08:41:51.726632+00:00,2026-08-25T08:42:03.636340+00:00,gpt-5.6-terra,remote_provider,3186,452,289,0.011796,0,
C-fa1ff8dfca5fb4ad1773,agentic-evidence-audit-v2.0,pumpswap_application,deepseek_v4_pro,DeepSeek,deepseek-v4-pro,F_1001,factorial,,1001,M0;M1;M2;M3;M4;M7,M5;M6,0,7,4216660056,ok,7a0e7b6d9ddd54ba035d1a779dfdc8ccb01c924a6c2343208f2da83b4742622c,3f0d402b4da8883a2c70dbc78c94c87e7e37dc26a0ad3022be5bf41b4722ddd8,AUDIT-3366c29b17bb3e44,2026-08-25T08:42:03.661887+00:00,2026-08-25T08:43:15.645999+00:00,deepseek-v4-pro,remote_provider,3981,4334,4166,0.02241756,0,
C-410aae98bd6276b9d121,agentic-evidence-audit-v2.0,pumpswap_application,qwen3_14b,Alibaba-Qwen/Ollama,qwen3:14b,CTRL_EMPTY_L4,evidence_free_negative_control,L4,,,M0;M1;M2;M3;M4;M5;M6;M7,0,2,1111479825,ok,a6d9a1402e5f6ccdf461d7569cfbaa314eeb2800f6bb265ec40543cc3d3dce6e,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,AUDIT-774de2e095336ed4,2026-08-25T08:43:15.670460+00:00,2026-08-25T08:43:51.158806+00:00,qwen3:14b,bdbd181c33f2ed1b31c972991882db3cf4d192569092138a7d29e973cd9debe8,890,115,0,0.0,0,
C-d2b08054e8b2ae3a7a82,agentic-evidence-audit-v2.0,pumpswap_application,gpt_5_6_terra,OpenAI,gpt-5.6-terra,F_0001,factorial,,0001,M0;M1;M2;M3;M7,M4;M5;M6,0,8,3555043277,ok,6a675819e8062e65062ec4ee8c1afb0a1e8575fe21f1788ce19dc50633175afa,2f2277db14be200a7f9e501c12ed6e43e20296f440d619230de510d57bd1b323,AUDIT-a4850afa74e188ae,2026-08-25T08:43:51.174609+00:00,2026-08-25T08:43:59.789841+00:00,gpt-5.6-terra,remote_provider,2464,366,215,0.00932,0,
C-320845d708bbbe5f1ad0,agentic-evidence-audit-v2.0,pumpswap_application,gpt_5_6_terra,OpenAI,gpt-5.6-terra,F_1110,factorial,L6,1110,M0;M1;M2;M3;M4;M5;M6,M7,0,3,859663696,ok,816f1d76519bc05e1ec6e4a019cae3e9ba7e31ec149e7f58b04e93346c7aab44,b1852b47d350ce5dca2de77f4c85fa53f66110fdeff8a59c0bffe10f451a9a46,AUDIT-909ea13b2dbf93f8,2026-08-25T08:43:59.806405+00:00,2026-08-25T08:44:08.763058+00:00,gpt-5.6-terra,remote_provider,4234,440,247,0.013748,0,
C-79e1802601f62d317830,agentic-evidence-audit-v2.0,pumpswap_application,gpt_5_6_terra,OpenAI,gpt-5.6-terra,F_0001,factorial,,0001,M0;M1;M2;M3;M7,M4;M5;M6,0,5,2065082271,ok,6a675819e8062e65062ec4ee8c1afb0a1e8575fe21f1788ce19dc50633175afa,2f2277db14be200a7f9e501c12ed6e43e20296f440d619230de510d57bd1b323,AUDIT-a4850afa74e188ae,2026-08-25T08:44:08.782415+00:00,2026-08-25T08:44:16.439832+00:00,gpt-5.6-terra,remote_provider,2464,264,103,0.008096,0,
C-41b71ae82f032dc5a225,agentic-evidence-audit-v2.0,pumpswap_application,gpt_5_6_terra,OpenAI,gpt-5.6-terra,F_0100,factorial,,0100,M0;M1;M2;M3;M5,M4;M6;M7,0,6,1122779745,ok,3833ea8542bb4c62b3cf88d8405ea4aba4d9e4db41b6ff9344da35b348aa05fd,12e8323fdcc84a37b83a53448aaf4d8f4c7b1ef70919a7513ac855ed3ed70f87,AUDIT-395b5d5adcfabf63,2026-08-25T08:44:16.455522+00:00,2026-08-25T08:44:26.334519+00:00,gpt-5.6-terra,remote_provider,2583,583,400,0.012162,0,
C-fe5aa8d946cf8d087a00,agentic-evidence-audit-v2.0,pumpswap_application,qwen3_14b,Alibaba-Qwen/Ollama,qwen3:14b,F_1100,factorial,L5,1100,M0;M1;M2;M3;M4;M5,M6;M7,0,7,4287615058,ok,03bc04c56ecb370cb3440d65040c48a6d9f2693750a4577d667f268963510f72,e71683daa41c398ceefa2a6658ee3eaf6031e2300d74c93da74cb8e14f8654d2,AUDIT-7ecb70dac5ade176,2026-08-25T08:44:26.352179+00:00,2026-08-25T08:45:37.129732+00:00,qwen3:14b,bdbd181c33f2ed1b31c972991882db3cf4d192569092138a7d29e973cd9debe8,5529,132,0,0.0,0,
C-c92ca4ccb209e62b8559,agentic-evidence-audit-v2.0,pumpswap_application,deepseek_v4_pro,DeepSeek,deepseek-v4-pro,F_1010,factorial,,1010,M0;M1;M2;M3;M4;M6,M5;M7,0,9,3395406917,ok,36389cca04fc6786e33f7ddc9bf458a19b5d1e453e3b9474bf6252edb1329107,f9d6c998179d35a40cbbdbb54f51cd4cee99dd28583d49b7889256a32e67f2cd,AUDIT-7b22ece2b37e902a,2026-08-25T08:45:37.147639+00:00,2026-08-25T08:47:10.944339+00:00,deepseek-v4-pro,remote_provider,3220,3160,2958,0.016764,0,
C-fae57680235d78ec7c58,agentic-evidence-audit-v2.0,pumpswap_application,qwen3_14b,Alibaba-Qwen/Ollama,qwen3:14b,F_1000,factorial,L4,1000,M0;M1;M2;M3;M4,M5;M6;M7,0,3,4229602809,ok,a1a5ce0e2dd0d53c4d489241dd564bf2d9cf942519e92524ae5edff35fe39aae,3583ab2d1a5d0fb83ba5adf4a1af25b61622e3ac2d3333d10dd1fe82c2e0b313,AUDIT-25b1402c07f9a1c7,2026-08-25T08:47:10.965490+00:00,2026-08-25T08:48:36.085167+00:00,qwen3:14b,bdbd181c33f2ed1b31c972991882db3cf4d192569092138a7d29e973cd9debe8,4423,106,0,0.0,0,
C-00e6430914c64c10a01a,agentic-evidence-audit-v2.0,pumpswap_application,qwen3_14b,Alibaba-Qwen/Ollama,qwen3:14b,F_1001,factorial,,1001,M0;M1;M2;M3;M4;M7,M5;M6,0,3,35351170,ok,7a0e7b6d9ddd54ba035d1a779dfdc8ccb01c924a6c2343208f2da83b4742622c,3f0d402b4da8883a2c70dbc78c94c87e7e37dc26a0ad3022be5bf41b4722ddd8,AUDIT-3366c29b17bb3e44,2026-08-25T08:48:36.109377+00:00,2026-08-25T08:50:04.111613+00:00,qwen3:14b,bdbd181c33f2ed1b31c972991882db3cf4d192569092138a7d29e973cd9debe8,5831,117,0,0.0,0,
